,id,platform,hashtag,n_clusters,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,dominant_r,dominant_g,dominant_b,dominant_h,dominant_s,dominant_v,black,gray,white,orange,orange-yellow,yellow,yellow-green,green,green-blue,blue,blue-violet,violet,violet-red,red,red-orange
0,klimaschutz_526.jpg,instagram,klimaschutz,13,0.4194185621480423,0.33083127251596045,0.2928888006016005,0.3343263408304496,0.4489282968089193,0.4559748654363703,0.0424452133794694,0.0796037723047696,0.1176470588235294,0.5843137254901961,0.6392156862745098,0.1176470588235294,0.2971813725490195,0.3524816176470587,0.0,0.1534926470588234,0.1431525735294116,0.0,0.0536917892156862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,klimaschutz_527.jpg,instagram,klimaschutz,7,0.5271569557994285,0.519150831438711,0.5372005325534673,0.5341704512687427,0.41734669357939236,0.6535407054978853,0.6073663975394079,0.6774382703485085,0.7137254901960784,0.5568627450980392,0.1490196078431372,0.7137254901960784,0.0,0.0,0.0,0.1403952205882352,0.0696231617647058,0.0,0.0,0.0,0.0,0.0,0.6851256127450981,0.1048560049019607,0.0,0.0,0.0
0,klimaschutz_528.jpg,instagram,klimaschutz,2,0.16598195758984102,0.4877661236063052,0.29469562399642685,0.4,0.6956083597654749,0.4877661236063052,0.1061130334486736,0.4509803921568627,0.2440599769319494,0.4,0.7647058823529411,0.4509803921568627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,klimaschutz_529.jpg,instagram,klimaschutz,13,0.38444093498576626,0.4848243244189345,0.5368277778904148,0.4208232804840686,0.36457088694852935,0.5924962660845589,0.0275432525951557,0.5058237329533889,0.7803921568627451,0.5607843137254902,0.9647058823529412,0.7803921568627451,0.08148193359375,0.44232177734375,0.0,0.072509765625,0.0,0.0,0.0296630859375,0.0,0.0,0.0,0.170166015625,0.203857421875,0.0,0.0,0.0
0,klimaschutz_530.jpg,instagram,klimaschutz,8,0.4748147383204133,0.4530170519878122,0.48868992889124785,0.27993409986543616,0.25108071414840427,0.5461877643214147,0.6274509803921569,0.581278693715087,0.5560938100730488,0.0588235294117647,0.1137254901960784,0.6274509803921569,0.0,0.48414522058823506,0.0,0.0,0.2059589460784313,0.0,0.0,0.0,0.0,0.0018382352941176,0.0076593137254901,0.3003982843137255,0.0,0.0,0.0
0,klimaschutz_531.jpg,instagram,klimaschutz,13,0.38444093498576626,0.4848243244189345,0.5368277778904148,0.4208232804840686,0.36457088694852935,0.5924962660845589,0.0275432525951557,0.5058237329533889,0.7803921568627451,0.5607843137254902,0.9647058823529412,0.7803921568627451,0.08148193359375,0.44232177734375,0.0,0.072509765625,0.0,0.0,0.0296630859375,0.0,0.0,0.0,0.170166015625,0.203857421875,0.0,0.0,0.0
0,klimaschutz_532.jpg,instagram,klimaschutz,7,0.7303055798203557,0.7304026928579062,0.7293582955351215,0.2731912004998076,0.12525891484044582,0.7709525783352557,0.6191003460207612,0.7110164868715653,0.7411764705882353,0.5411764705882353,0.1647058823529411,0.7411764705882353,0.0,0.0975030637254902,0.2892922794117647,0.0269607843137254,0.2571997549019608,0.0,0.0,0.0,0.0,0.003829656862745,0.3252144607843137,0.0,0.0,0.0,0.0
0,klimaschutz_533.jpg,instagram,klimaschutz,14,0.37483897325722443,0.405076613563477,0.4368105868500801,0.46755845107650895,0.5110693603421758,0.5182859356978082,0.0,0.2325259515570934,0.3529411764705882,0.5568627450980392,1.0,0.3529411764705882,0.071078431372549,0.1751685049019607,0.0,0.1876531862745095,0.0,0.0,0.0,0.0,0.0,0.0,0.2784160539215686,0.2601868872549019,0.0,0.0,0.0274969362745098
0,klimaschutz_534.jpg,instagram,klimaschutz,12,0.12309220600485461,0.07798330524935602,0.0596001172720144,0.1602439566512878,0.604962634563629,0.13809982939254112,0.0392156862745098,0.0185593776149444,0.0033833141099577,0.0705882352941176,0.9137254901960784,0.0392156862745098,0.8174019607843135,0.058746936274509706,0.000765931372549,0.0,0.058593749999999896,0.0146292892156862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049862132352941096
0,klimaschutz_535.jpg,instagram,klimaschutz,8,0.4250230786518759,0.34541300143465786,0.23633781293970413,0.10438383073817743,0.4626312596116877,0.4253700499807765,0.4745098039215686,0.3575406744012483,0.2195770857362552,0.0901960784313725,0.5372549019607843,0.4745098039215686,0.0,0.1255361519607841,0.0,0.0,0.7863817401960783,0.0880821078431372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
